phrase,sentances
temporal databases,"Temporal databases are in contrast to current databases (not to be confused with currently available databases), which store only facts which are believed to be true at the current time."
current databases,"Temporal databases are in contrast to current databases (not to be confused with currently available databases), which store only facts which are believed to be true at the current time."
regularized logistic regression,Regularized logistic regression is specifically intended to be used in this situation.
global solutions,"Deterministic global optimization is a branch of numerical optimization which focuses on finding the global solutions of an optimization problem whilst providing theoretical guarantees that the reported solution is indeed the global one, within some predefined tolerance."
deterministic global optimization,"Deterministic global optimization is a branch of numerical optimization which focuses on finding the global solutions of an optimization problem whilst providing theoretical guarantees that the reported solution is indeed the global one, within some predefined tolerance. !! Deterministic global optimization methods require ways to rigorously bound function values over regions of space. !! The term ""deterministic global optimization"" typically refers to complete or rigorous (see below) optimization methods. !! Deterministic global optimization methods typically belong to the last two categories. !! Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem."
numerical optimization,"Deterministic global optimization is a branch of numerical optimization which focuses on finding the global solutions of an optimization problem whilst providing theoretical guarantees that the reported solution is indeed the global one, within some predefined tolerance."
optimization methods,"Increasingly, operations research uses stochastic programming to model dynamic decisions that adapt to events; such problems can be solved with large-scale optimization and stochastic optimization methods. !! Stochastic optimization (SO) methods are optimization methods that generate and use random variables. !! Nonlinear optimization methods are widely used in conformational analysis. !! The term ""deterministic global optimization"" typically refers to complete or rigorous (see below) optimization methods. !! More generally, if the objective function is not a quadratic function, then many optimization methods use other methods to ensure that some subsequence of iterations converges to an optimal solution."
global minimum,"Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem."
mathematical model,"Sparse distributed memory (SDM) is a mathematical model of human long-term memory introduced by Pentti Kanerva in 1988 while he was at NASA Ames Research Center. !! A finite-state machine (FSM) or finite-state automaton (FSA, plural: automata), finite automaton, or simply a state machine, is a mathematical model of computation. !! Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem. !! In computer science, an abstract data type (ADT) is a mathematical model for data types."
optimization problem,"In a genetic algorithm, a population of candidate solutions (called individuals, creatures, organisms, or phenotypes) to an optimization problem is evolved toward better solutions. !! Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem. !! In optimization theory, semi-infinite programming (SIP) is an optimization problem with a finite number of variables and an infinite number of constraints, or an infinite number of variables and a finite number of constraints."
lexicographic code,"Lexicographic codes or lexicodes are greedily generated error-correcting codes with remarkably good properties. !! In particular, the codewords in a binary lexicographic code of distance d encode the winning positions in a variant of Grundy's game, played on a collection of heaps of stones, in which each move consists of replacing any one heap by at most d 1 smaller heaps, and the goal is to take the last stone. !! The binary lexicographic codes are linear codes, and include the Hamming codes and the binary Golay codes. !! The theory of lexicographic codes is closely connected to combinatorial game theory. !! Following C generate lexicographic code and parameters are set for the Golay code (N=24, D=8)."
binary lexicographic codes,"The binary lexicographic codes are linear codes, and include the Hamming codes and the binary Golay codes."
golay code,"Following C generate lexicographic code and parameters are set for the Golay code (N=24, D=8)."
combinatorial game theory,The theory of lexicographic codes is closely connected to combinatorial game theory.
binary lexicographic code,"In particular, the codewords in a binary lexicographic code of distance d encode the winning positions in a variant of Grundy's game, played on a collection of heaps of stones, in which each move consists of replacing any one heap by at most d 1 smaller heaps, and the goal is to take the last stone."
minimum k-cut,"Inapproximability of Maximum Edge Biclique, Maximum Balanced Biclique and Minimum k-Cut from the Small Set Expansion Hypothesis. !! In mathematics, the minimum k-cut, is a combinatorial optimization problem that requires finding a set of edges whose removal would partition the graph to at least k connected components. !! Guttmann-Beck, N. ; Hassin, R. (1999), ""Approximation algorithms for minimum k-cut"" (PDF), Algorithmica, pp."
approximation algorithms,"The design and analysis of approximation algorithms crucially involves a mathematical proof certifying the quality of the returned solutions in the worst case. !! In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one. !! The field of approximation algorithms, therefore, tries to understand how closely it is possible to approximate optimal solutions to such problems in polynomial time. !! Approximation algorithms naturally arise in the field of theoretical computer science as a consequence of the widely believed P NP conjecture. !! However, there are also many approximation algorithms that provide an additive guarantee on the quality of the returned solution. !! Guttmann-Beck, N. ; Hassin, R. (1999), ""Approximation algorithms for minimum k-cut"" (PDF), Algorithmica, pp."
machine learning algorithms,"While machine learning algorithms are used to compute immense quantities of data, quantum machine learning utilizes qubits and quantum operations or specialized quantum systems to improve computational speed and data storage done by algorithms in a program. !! Manifold alignment is a class of machine learning algorithms that produce projections between sets of data, given that the original data sets lie on a common manifold. !! Deep learning is a class of machine learning algorithms that:199200 uses multiple layers to progressively extract higher-level features from the raw input. !! In computer science, computational learning theory (or just learning theory) is a subfield of artificial intelligence devoted to studying the design and analysis of machine learning algorithms."
manifold alignment,"Manifold alignment assumes that disparate data sets produced by similar generating processes will share a similar underlying manifold representation. !! Perform linear manifold alignment on the embedded data, holding the first data set fixed, mapping each additional data set onto the first's manifold. !! Manifold alignment is a class of machine learning algorithms that produce projections between sets of data, given that the original data sets lie on a common manifold. !! Manifold alignment can be used to find linear (feature-level) projections, or nonlinear (instance-level) embeddings. !! Most manifold alignment techniques consider only two data sets, but the concept extends to arbitrarily many initial data sets."
embedded data,"Perform linear manifold alignment on the embedded data, holding the first data set fixed, mapping each additional data set onto the first's manifold."
fuzzy classification,"A fuzzy class ~C = { i | ~(i) } is defined as a fuzzy set ~C of individuals i satisfying a fuzzy classification predicate ~ which is a fuzzy propositional function. !! A fuzzy classification corresponds to a membership function that indicates whether an individual is a member of a class, given its fuzzy classification predicate ~. !! Accordingly, fuzzy classification is the process of grouping individuals having the same characteristics into a fuzzy set. !! Fuzzy classification is the process of grouping elements into a fuzzy set whose membership function is defined by the truth value of a fuzzy propositional function. !! The fuzzy classification predicate ~ corresponds to a fuzzy restriction ""i is R"" of U, where R is a fuzzy set defined by a truth function."
fuzzy propositional function,Fuzzy classification is the process of grouping elements into a fuzzy set whose membership function is defined by the truth value of a fuzzy propositional function. !! A fuzzy class ~C = { i | ~(i) } is defined as a fuzzy set ~C of individuals i satisfying a fuzzy classification predicate ~ which is a fuzzy propositional function.
truth value,"In a temporal logic, a statement can have a truth value that varies in timein contrast with an atemporal logic, which applies only to statements whose truth values are constant in time. !! Fuzzy logic is a form of many-valued logic in which the truth value of variables may be any real number between 0 and 1. !! Fuzzy classification is the process of grouping elements into a fuzzy set whose membership function is defined by the truth value of a fuzzy propositional function."
fuzzy classification predicate,"The fuzzy classification predicate ~ corresponds to a fuzzy restriction ""i is R"" of U, where R is a fuzzy set defined by a truth function. !! A fuzzy classification corresponds to a membership function that indicates whether an individual is a member of a class, given its fuzzy classification predicate ~. !! A fuzzy class ~C = { i | ~(i) } is defined as a fuzzy set ~C of individuals i satisfying a fuzzy classification predicate ~ which is a fuzzy propositional function."
fuzzy class,A fuzzy class ~C = { i | ~(i) } is defined as a fuzzy set ~C of individuals i satisfying a fuzzy classification predicate ~ which is a fuzzy propositional function.
fuzzy set,"Accordingly, fuzzy classification is the process of grouping individuals having the same characteristics into a fuzzy set. !! A fuzzy class ~C = { i | ~(i) } is defined as a fuzzy set ~C of individuals i satisfying a fuzzy classification predicate ~ which is a fuzzy propositional function."
membership function,"A fuzzy classification corresponds to a membership function that indicates whether an individual is a member of a class, given its fuzzy classification predicate ~."
mobile ad hoc networks,The Wireless Routing Protocol (WRP) is a proactive unicast routing protocol for mobile ad hoc networks (MANETs). !! The Temporally Ordered Routing Algorithm (TORA) is an algorithm for routing data across Wireless Mesh Networks or Mobile ad hoc networks.
wireless routing protocol,The Wireless Routing Protocol (WRP) is a proactive unicast routing protocol for mobile ad hoc networks (MANETs).
immersive virtual environment,"An immersive virtual musical instrument, or immersive virtual environment for music and sound, represents sound processes and their parameters as 3D entities of a virtual reality so that they can be perceived not only through auditory feedback but also visually in 3D and possibly through tactile as well as haptic feedback, using 3D interface metaphors consisting of interaction techniques such as navigation, selection and manipulation (NSM)."
human-centered computing,"Human-centered computing is closely related to human-computer interaction and information science. !! Human-centered computing researchers and practitioners usually come from one or more of disciplines such as computer science, human factors, sociology, psychology, cognitive science, anthropology, communication studies, graphic design and industrial design. !! Human-centered computing (HCC) studies the design, development, and deployment of mixed-initiative human-computer systems. !! Human-centered systems (HCS) are systems designed for human-centered computing. !! Human-centered computing is usually concerned with systems and practices of technology use while human-computer interaction is more focused on ergonomics and the usability of computing artifacts and information science is focused on practices surrounding the collection, manipulation, and use of information."
computer systems,"In computer science, an access control matrix or access matrix is an abstract, formal security model of protection state in computer systems, that characterizes the rights of each subject with respect to every object in the system. !! Digital identity is now often used in ways that require data about persons stored in computer systems to be linked to their civil, or national, identities. !! The term ""digital identity"" also denotes certain aspects of civil and personal identity that have resulted from the widespread use of identity information to represent people in an acceptable and trusted digital format in computer systems. !! Lall, Ashwin; Sekar, Vyas; Ogihara, Mitsunori; Xu, Jun; Zhang, Hui (2006), ""Data streaming algorithms for estimating entropy of network traffic"", Proceedings of the Joint International Conference on Measurement and Modeling of Computer Systems (ACM SIGMETRICS 2006) (PDF), p. 145, !! Human-centered computing (HCC) studies the design, development, and deployment of mixed-initiative human-computer systems. !! ACM Transactions on Computer Systems is a quarterly peer-reviewed scientific journal published by the Association for Computing Machinery. !! In computer engineering, computer architecture is a set of rules and methods that describe the functionality, organization, and implementation of computer systems. !! A digital identity is information on an entity used by computer systems to represent an external agent. !! By the everyday usage definition of the phrase, all computer systems are reasoning systems in that they all automate some type of logic or decision."
information science,"Document classification or document categorization is a problem in library science, information science and computer science. !! In philosophy, the term formal ontology is used to refer to an ontology defined by axioms in a formal language with the goal to provide an unbiased (domain- and application-independent) view on reality, which can help the modeler of domain- or application-specific ontologies (information science) to avoid possibly erroneous ontological assumptions encountered in modeling large-scale ontologies. !! However, data science is different from computer science and information science. !! Human-centered computing is closely related to human-computer interaction and information science. !! Human-centered computing is usually concerned with systems and practices of technology use while human-computer interaction is more focused on ergonomics and the usability of computing artifacts and information science is focused on practices surrounding the collection, manipulation, and use of information."
computer interaction,"The nature of interactive computing as well as its impact on users, are studied extensively in the field of computer interaction. !! Human-centered computing is closely related to human-computer interaction and information science. !! Most self-identified persuasive technology research focuses on interactive, computational technologies, including desktop computers, Internet services, video games, and mobile devices, but this incorporates and builds on the results, theories, and methods of experimental psychology, rhetoric, and human-computer interaction. !! User experience design draws from design approaches like human-computer interaction and user-centered design, and includes elements from similar disciplines like interaction design, visual design, information architecture, user research, and others. !! Augmented cognition is an interdisciplinary area of psychology and engineering, attracting researchers from the more traditional fields of human-computer interaction, psychology, ergonomics and neuroscience. !! Graphically embodied agents aim to unite gesture, facial expression and speech to enable face-to-face communication with users, providing a powerful means of human-computer interaction. !! In computing, scratch input is an acoustic-based method of Human-Computer Interaction (HCI) that takes advantage of the characteristic sound produced when a finger nail or other object is dragged over a surface, such as a table or wall. !! In human-computer interaction, low-key feedback is a type of output that takes a background role by being very subtle, sometimes nearly imperceptible. !! In computer science, particularly in human-computer interaction, presentation semantics specify how a particular piece of a formal language is represented in a distinguished manner accessible to human senses, usually human vision. !! Human-centered computing is usually concerned with systems and practices of technology use while human-computer interaction is more focused on ergonomics and the usability of computing artifacts and information science is focused on practices surrounding the collection, manipulation, and use of information."
graphic design,"Human-centered computing researchers and practitioners usually come from one or more of disciplines such as computer science, human factors, sociology, psychology, cognitive science, anthropology, communication studies, graphic design and industrial design. !! One definition is that it's information visualization when the spatial representation (e. g. , the page layout of a graphic design) is chosen, whereas it's scientific visualization when the spatial representation is given. !! Since the graphic design of the mapping can adversely affect the readability of a chart, mapping is a core competency of Data visualization."
industrial design,"Human-centered computing researchers and practitioners usually come from one or more of disciplines such as computer science, human factors, sociology, psychology, cognitive science, anthropology, communication studies, graphic design and industrial design."
computer network,"Server Message Block (SMB) enables file sharing, printer sharing, network browsing, and inter-process communication (through named pipes) over a computer network. !! Network architecture is the design of a computer network. !! Computer network programming involves writing computer programs that enable processes to communicate with each other across a computer network. !! The nodes of a computer network may include personal computers, servers, networking hardware, or other specialised or general-purpose hosts. !! Quality of service (QoS) is the description or measurement of the overall performance of a service, such as a telephony or computer network or a cloud computing service, particularly the performance seen by the users of the network. !! Computer networks support many applications and services, such as access to the World Wide Web, digital video, digital audio, shared use of application and storage servers, printers, and fax machines, and use of email and instant messaging applications. !! In telecommunications, a protocol data unit (PDU) is a single unit of information transmitted among peer entities of a computer network. !! In communication networks, cognitive network (CN) is a new type of data network that makes use of cutting edge technology from several research areas (i. e. machine learning, knowledge representation, computer network, network management) to solve some problems current networks are faced with. !! Computer networks may be classified by many criteria, including the transmission medium used to carry signals, bandwidth, communications protocols to organize network traffic, the network size, the topology, traffic control mechanism, and organizational intent. !! A computer network is a set of computers sharing resources located on or provided by network nodes. !! A grid network is not the same as a grid computer or a computational grid, although the nodes in a grid network are usually computers, and grid computing requires some kind of computer network or ""universal coding"" to interconnect the computers. !! Software incompatibility is a characteristic of software components or systems which cannot operate satisfactorily together on the same computer, or on different computers linked by a computer network. !! For example, a notification system can send an e-mail announcing when a computer network will be down for a scheduled maintenance. !! A broadcast storm or broadcast radiation is the accumulation of broadcast and multicast traffic on a computer network. !! Computer networking may be considered a branch of computer science, computer engineering, and telecommunications, since it relies on the theoretical and practical application of the related disciplines. !! A broadcast domain is a logical division of a computer network, in which all nodes can reach each other by broadcast at the data link layer."
network architecture,"Network architecture is the design of a computer network. !! In distributed computing, the network architecture often describes the structure and classification of a distributed application architecture, as the participating nodes in a distributed application are often referred to as a network. !! In telecommunication, the specification of a network architecture may also include a detailed description of products and services delivered via a communications network, as well as detailed rate and billing structures under which services are compensated. !! The Open Systems Interconnection model (OSI model) defines and codifies the concept of layered network architecture. !! The network architecture of the Internet is predominantly expressed by its use of the Internet protocol suite, rather than a specific model for interconnecting networks or nodes in the network, or the usage of specific types of hardware links."
communications network,"In telecommunication, the specification of a network architecture may also include a detailed description of products and services delivered via a communications network, as well as detailed rate and billing structures under which services are compensated."
internet protocol suite,"In the Internet Protocol Suite (TCP/IP), the data link layer functionality is contained within the link layer, the lowest layer of the descriptive model, which is assumed to be independent of physical infrastructure. !! The Internet Protocol (IP) is the network layer communications protocol in the Internet protocol suite for relaying datagrams across network boundaries. !! The Internet protocol suite is therefore often referred to as TCP/IP. !! The Internet Control Message Protocol (ICMP) is a supporting protocol in the Internet protocol suite. !! The Common Open Policy Service (COPS) Protocol is part of the internet protocol suite as defined by the RFC 2748. !! The network architecture of the Internet is predominantly expressed by its use of the Internet protocol suite, rather than a specific model for interconnecting networks or nodes in the network, or the usage of specific types of hardware links."
hardware links,"The network architecture of the Internet is predominantly expressed by its use of the Internet protocol suite, rather than a specific model for interconnecting networks or nodes in the network, or the usage of specific types of hardware links."
layered network architecture,The Open Systems Interconnection model (OSI model) defines and codifies the concept of layered network architecture.
osi model,"Cognitive network is different from cognitive radio (CR) as it covers all the layers of the OSI model (not only layers 1 and 2 as with CR ). !! The Open Systems Interconnection model (OSI model) defines and codifies the concept of layered network architecture. !! The application firewall can control communications up to the application layer of the OSI model, which is the highest operating layer, and where it gets its name."
distributed computing,"Ubiquitous computing touches on distributed computing, mobile computing, location computing, mobile networking, sensor networks, humancomputer interaction, context-aware smart home technologies, and artificial intelligence. !! Distributed algorithms are used in different application areas of distributed computing, such as telecommunications, scientific computing, distributed information processing, and real-time process control. !! In distributed computing, the network architecture often describes the structure and classification of a distributed application architecture, as the participating nodes in a distributed application are often referred to as a network. !! In distributed computing, a remote procedure call (RPC) is when a computer program causes a procedure (subroutine) to execute in a different address space (commonly on another computer on a shared network), which is coded as if it were a normal (local) procedure call, without the programmer explicitly coding the details for the remote interaction."
distributed application architecture,"In distributed computing, the network architecture often describes the structure and classification of a distributed application architecture, as the participating nodes in a distributed application are often referred to as a network."
distributed application,"In distributed computing, the network architecture often describes the structure and classification of a distributed application architecture, as the participating nodes in a distributed application are often referred to as a network."
lossless compression,"Most lossless compression programs do two things in sequence: the first step generates a statistical model for the input data, and the second step uses this model to map input data to bit sequences in such a way that ""probable"" (e. g. frequently encountered) data will produce shorter output than ""improbable"" data. !! Lossless compression is used in cases where it is important that the original and the decompressed data be identical, or where deviations from the original data would be unfavourable. !! By operation of the pigeonhole principle, no lossless compression algorithm can efficiently compress all possible data. !! Lossless compression is a class of data compression that allows the original data to be perfectly reconstructed from the compressed data. !! Some image file formats, like PNG or GIF, use only lossless compression, while others like TIFF and MNG may use either lossless or lossy methods."
original data,"Error detection techniques allow detecting such errors, while error correction enables reconstruction of the original data in many cases. !! Dimensionality reduction, or dimension reduction, is the transformation of data from a high-dimensional space into a low-dimensional space so that the low-dimensional representation retains some meaningful properties of the original data, ideally close to its intrinsic dimension. !! Lossless compression is a class of data compression that allows the original data to be perfectly reconstructed from the compressed data."
compressed data,Lossless compression is a class of data compression that allows the original data to be perfectly reconstructed from the compressed data.
lossless compression algorithm,"Some of the most common lossless compression algorithms are listed below. !! While, in principle, any general-purpose lossless compression algorithm (general-purpose meaning that they can accept any bitstring) can be used on any type of data, many are unable to achieve significant compression on data that are not of the form for which they were designed to compress. !! However, many ordinary lossless compression algorithms produce headers, wrappers, tables, or other predictable output that might instead make cryptanalysis easier. !! By operation of the pigeonhole principle, no lossless compression algorithm can efficiently compress all possible data. !! No lossless compression algorithm can efficiently compress all possible data (see the section Limitations below for details)."
decompressed data,"Lossless compression is used in cases where it is important that the original and the decompressed data be identical, or where deviations from the original data would be unfavourable."
lossy methods,"Some image file formats, like PNG or GIF, use only lossless compression, while others like TIFF and MNG may use either lossless or lossy methods."
image file formats,"Some image file formats, like PNG or GIF, use only lossless compression, while others like TIFF and MNG may use either lossless or lossy methods."
bit sequences,"Most lossless compression programs do two things in sequence: the first step generates a statistical model for the input data, and the second step uses this model to map input data to bit sequences in such a way that ""probable"" (e. g. frequently encountered) data will produce shorter output than ""improbable"" data."
statistical model,"Most lossless compression programs do two things in sequence: the first step generates a statistical model for the input data, and the second step uses this model to map input data to bit sequences in such a way that ""probable"" (e. g. frequently encountered) data will produce shorter output than ""improbable"" data. !! Logistic regression is a statistical model that in its basic form uses a logistic function to model a binary dependent variable, although many more complex extensions exist. !! Bayesian inference derives the posterior probability as a consequence of two antecedents: a prior probability and a ""likelihood function"" derived from a statistical model for the observed data."
input data,"Competitive learning is a form of unsupervised learning in artificial neural networks, in which nodes compete for the right to respond to a subset of the input data. !! Most lossless compression programs do two things in sequence: the first step generates a statistical model for the input data, and the second step uses this model to map input data to bit sequences in such a way that ""probable"" (e. g. frequently encountered) data will produce shorter output than ""improbable"" data. !! Here is a simple competitive learning algorithm to find three clusters within some input data. !! This is an instance of the more general strategy of dimensionality reduction, which seeks to map the input data into a lower-dimensional space prior to running the supervised learning algorithm."
state machine,"Finite-state machines are of two typesdeterministic finite-state machines and non-deterministic finite-state machines. !! The behavior of state machines can be observed in many devices in modern society that perform a predetermined sequence of actions depending on a sequence of events with which they are presented. !! Finite-state machine-based programming is generally the same, but, formally speaking, does not cover all possible variants, as FSM stands for finite-state machine, and automata-based programming does not necessarily employ FSMs in the strict sense. !! A finite-state machine (FSM) or finite-state automaton (FSA, plural: automata), finite automaton, or simply a state machine, is a mathematical model of computation. !! Automata-based programming is a programming paradigm in which the program or part of it is thought of as a model of a finite-state machine (FSM) or any other (often more complicated) formal automaton (see automata theory). !! The finite-state machine has less computational power than some other models of computation such as the Turing machine. !! A deterministic finite-state machine can be constructed equivalent to any non-deterministic one."
automata-based programming,"Automata-based programming indeed closely matches the programming needs found in the field of automation. !! Another reason for using the notion of automata-based programming is that the programmer's style of thinking about the program in this technique is very similar to the style of thinking used to solve mathematical tasks using Turing machines, Markov algorithms, etc. !! Finite-state machine-based programming is generally the same, but, formally speaking, does not cover all possible variants, as FSM stands for finite-state machine, and automata-based programming does not necessarily employ FSMs in the strict sense. !! Automata-based programming is a programming paradigm in which the program or part of it is thought of as a model of a finite-state machine (FSM) or any other (often more complicated) formal automaton (see automata theory). !! Automata-based programming is widely used in lexical and syntactic analyses."
programming paradigm,"Automata-based programming is a programming paradigm in which the program or part of it is thought of as a model of a finite-state machine (FSM) or any other (often more complicated) formal automaton (see automata theory). !! In computer programming, symbolic programming is a programming paradigm in which the program can manipulate its own formulas and program components as if they were plain data. !! In computer programming, feature-oriented programming (FOP) or feature-oriented software development (FOSD) is a programming paradigm for program generation in software product lines (SPLs) and for incremental development of programs. !! Logic programming is a programming paradigm which is largely based on formal logic."
markov algorithms,"Another reason for using the notion of automata-based programming is that the programmer's style of thinking about the program in this technique is very similar to the style of thinking used to solve mathematical tasks using Turing machines, Markov algorithms, etc. !! Refal is a programming language based on Markov algorithms. !! Markov algorithms have been shown to be Turing-complete, which means that they are suitable as a general model of computation and can represent any mathematical expression from its simple notation."
web design,"Lazy loading (also known as asynchronous loading) is a design pattern commonly used in computer programming and mostly in web design and development to defer initialization of an object until the point at which it is needed. !! User experience evaluation has become common practice in web design, especially within organizations implementing user-centered design practices. !! Responsive web design (RWD) or responsive design is an approach to web design that aims to make web pages render well on a variety of devices and window or screen sizes from minimum to maximum display size to ensure usability and satisfaction."
statistical language model,A cache language model is a type of statistical language model. !! A statistical language model is a probability distribution over sequences of words.
language model,"Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications. !! A statistical language model is a probability distribution over sequences of words. !! Ambiguities are easier to resolve when evidence from the language model is integrated with a pronunciation model and an acoustic model. !! The language model provides context to distinguish between words and phrases that sound phonetically similar. !! Data sparsity is a major problem in building language models."
probability distribution,"A statistical language model is a probability distribution over sequences of words. !! In computer science and probability theory, a random binary tree is a binary tree selected at random from some probability distribution on binary trees. !! Monte Carlo methods are mainly used in three problem classes: optimization, numerical integration, and generating draws from a probability distribution. !! Then, the photonic implementation of the boson sampling task consists of generating a sample from the probability distribution of single-photon measurements at the output of the circuit. !! Maximal entropy random walk (MERW) is a popular type of biased random walk on a graph, in which transition probabilities are chosen accordingly to the principle of maximum entropy, which says that the probability distribution which best represents the current state of knowledge is the one with largest entropy. !! In statistics, Markov chain Monte Carlo (MCMC) methods comprise a class of algorithms for sampling from a probability distribution. !! Since Bayesian statistics treats probability as a degree of belief, Bayes' theorem can directly assign a probability distribution that quantifies the belief to the parameter or set of parameters."
data sparsity,Data sparsity is a major problem in building language models.
optical character recognition,"Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications."
handwriting recognition,"Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications. !! Graph edit distance finds applications in handwriting recognition, fingerprint recognition and cheminformatics."
machine translation,"Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications."
speech recognition,"Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications. !! Speech recognition is an interdisciplinary subfield of computer science and computational linguistics that develops methodologies and technologies that enable the recognition and translation of spoken language into text by computers with the main benefit of searchability. !! It is also known as automatic speech recognition (ASR), computer speech recognition or speech to text (STT). !! Applications of graphical models include causal inference, information extraction, speech recognition, computer vision, decoding of low-density parity-check codes, modeling of gene regulatory networks, gene finding and diagnosis of diseases, and graphical models for protein structure. !! Speech recognition applications include voice user interfaces such as voice dialing (e. g. ""call home""), call routing (e. g. ""I would like to make a collect call""), domotic appliance control, search key words (e. g. find a podcast where particular words were spoken), simple data entry (e. g. , entering a credit card number), preparation of structured documents (e. g. a radiology report), determining speaker characteristics, speech-to-text processing (e. g. , word processors or emails), and aircraft (usually termed direct voice input). !! From the technology perspective, speech recognition has a long history with several waves of major innovations. !! Some speech recognition systems require ""training"" (also called ""enrollment"") where an individual speaker reads text or isolated vocabulary into the system. !! Structured prediction is also used in a wide variety of application domains including bioinformatics, natural language processing, speech recognition, and computer vision. !! The term voice recognition can refer to speaker recognition or speech recognition. !! Convolutional neural networks were presented at the Neural Information Processing Workshop in 1987, automatically analyzing time-varying signals by replacing learned multiplication with convolution in time, and demonstrated for speech recognition. !! Statistical learning theory has led to successful applications in fields such as computer vision, speech recognition, and bioinformatics. !! Dimensionality reduction is common in fields that deal with large numbers of observations and/or large numbers of variables, such as signal processing, speech recognition, neuroinformatics, and bioinformatics."
information retrieval,"Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications. !! Reverse image search is a content-based image retrieval (CBIR) query technique that involves providing the CBIR system with a sample image that it will then base its search upon; in terms of information retrieval, the sample image is what formulates a search query. !! Spreading activation can also be applied in information retrieval, by means of a network of nodes representing documents and terms contained in those documents. !! Similarity learning is used in information retrieval for learning to rank, in face verification or face identification, and in recommendation systems. !! Exploratory search is a topic that has grown from the fields of information retrieval and information seeking but has become more concerned with alternatives to the kind of search that has received the majority of focus (returning the most relevant documents to a Google-like keyword search)."
language modeling,"Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications. !! Word embeddings can be obtained using a set of language modeling and feature learning techniques where words or phrases from the vocabulary are mapped to vectors of real numbers."
pronunciation model,Ambiguities are easier to resolve when evidence from the language model is integrated with a pronunciation model and an acoustic model.
acoustic model,Ambiguities are easier to resolve when evidence from the language model is integrated with a pronunciation model and an acoustic model.
source code,"Code stylometry (also known as program authorship attribution or source code authorship analysis) is the application of stylometry to computer code to attribute authorship to anonymous binary or source code. !! Some programming languages allow a program to operate differently or even have a different control flow than the source code, as long as it exhibits the same user-visible side effects, if undefined behavior never happens during program execution. !! If Istatic is source code designed to run inside that interpreter, then partial evaluation of the interpreter with respect to this data/program produces prog*, a version of the interpreter that only runs that source code, is written in the implementation language of the interpreter, does not require the source code to be resupplied, and runs faster than the original combination of the interpreter and the source. !! In some areas of computer programming, dead code is a section in the source code of a program which is executed but whose result is never used in any other computation. !! Inline expansion is similar to macro expansion, but occurs during compilation, without changing the source code (the text), while macro expansion occurs prior to compilation, and results in different text that is then processed by the compiler. !! In computing, file comparison is the calculation and display of the differences and similarities between data objects, typically text files such as source code. !! A compilation error message often helps programmers debugging the source code. !! In computer programming, a code smell is any characteristic in the source code of a program that possibly indicates a deeper problem. !! Source code that does bit manipulation makes use of the bitwise operations: AND, OR, XOR, NOT, and possibly other operations analogous to the boolean operators; there are also bit shifts and operations to count ones and zeros, find high and low one or zero, set, reset and test bits, extract and insert fields, mask and zero fields, gather and scatter bits to and from specified bit positions or fields. !! Time travel debugging or time traveling debugging is the process of stepping back in time through source code to understand what is happening during execution of a computer program. !! A software code audit is a comprehensive analysis of source code in a programming project with the intent of discovering bugs, security breaches or violations of programming conventions. !! In computer programming, readability refers to the ease with which a human reader can comprehend the purpose, control flow, and operation of source code. !! Loop optimization can be viewed as the application of a sequence of specific loop transformations (listed below or in Compiler transformations for high-performance computing) to the source code or intermediate representation, with each transformation having an associated test for legality. !! Formal verification can be helpful in proving the correctness of systems such as: cryptographic protocols, combinational circuits, digital circuits with internal memory, and software expressed as source code."
